NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+3300+87,38110899353028+[0,472;0,459;0,455;0,447]+0,45825000000000005+1,5491341666666667+8+1800+1+3441+1604879317046+1604877517046
4+3336+76,67862400817872+[0,478;0,465;0,462;0,449]+0,4635+1,530212222222222+8+1800+1+3461+1604879325046+1604877525046
4+3377+82,30285798645019+[0,483;0,471;0,467;0,456]+0,46925+1,5638891666666666+8+1800+1+3481+1604879333046+1604877533046
4+3408+81,2372440032959+[0,488;0,476;0,471;0,459]+0,47350000000000003+1,6289258333333327+8+1800+1+3521+1604879341046+1604877541046
4+3456+83,61403300476074+[0,495;0,483;0,478;0,464]+0,48+1,6723263888888886+8+1800+1+3541+1604879349046+1604877549046
4+3497+87,61675299072266+[0,501;0,489;0,483;0,47]+0,48574999999999996+1,5451472222222222+8+1800+1+3561+1604879357046+1604877557046
4+3538+89,42397100830078+[0,507;0,496;0,488;0,474]+0,49125+1,5878305555555547+8+1800+1+3601+1604879365046+1604877565046
4+3586+84,96123899841308+[0,512;0,501;0,496;0,484]+0,49824999999999997+1,635101944444445+8+1800+1+3621+1604879373046+1604877573046
4+3628+82,94937599182128+[0,518;0,504;0,503;0,489]+0,5035+1,6639538888888883+8+1800+1+3641+1604879381046+1604877581046
4+3657+80,76502099609375+[0,523;0,507;0,509;0,492]+0,50775+1,5384833333333328+8+1800+1+3681+1604879389046+1604877589046
4+3710+83,23013000488281+[0,53;0,513;0,518;0,5]+0,51525+1,4957894444444437+8+1800+1+3701+1604879397046+1604877597046
4+3752+92,05430700683594+[0,538;0,517;0,522;0,508]+0,52125+1,49872611111111+8+1800+1+3721+1604879405046+1604877605046
4+3789+87,07374598693848+[0,543;0,523;0,526;0,513]+0,52625+1,3922694444444443+8+1800+1+3761+1604879413046+1604877613046
4+3840+88,97212399291992+[0,551;0,53;0,532;0,521]+0,5335+1,3847222222222215+8+1800+1+3781+1604879421046+1604877621046
4+3879+123,57989700317383+[0,555;0,537;0,539;0,524]+0,5387500000000001+1,3122222222222217+8+1800+1+3801+1604879429046+1604877629046
4+3919+83,04180000305176+[0,559;0,544;0,546;0,528]+0,5442500000000001+1,118829999999999+8+1800+1+3842+1604879437046+1604877637046
4+3959+86,0930950012207+[0,565;0,547;0,552;0,535]+0,5497500000000001+1,005487222222222+8+1800+1+3862+1604879445046+1604877645046
4+3993+82,29275+[0,569;0,551;0,558;0,541]+0,5547500000000001+0,9021166666666665+8+1800+1+3882+1604879453046+1604877653046
4+4022+89,12840100097657+[0,571;0,553;0,564;0,547]+0,5587500000000001+0,7061111111111112+8+1800+1+3922+1604879461046+1604877661046
4+4053+92,39744700622559+[0,572;0,558;0,567;0,554]+0,56275+0,7138888888888886+8+1800+1+3942+1604879469046+1604877669046
4+4086+93,76121600341797+[0,575;0,56;0,572;0,563]+0,5674999999999999+0,6463888888888891+8+1800+1+3962+1604879477046+1604877677046
4+4101+93,24316299438476+[0,576;0,564;0,573;0,565]+0,5694999999999999+0,6316299999999999+8+1800+1+4002+1604879485046+1604877685046
4+4124+85,37186099243164+[0,578;0,566;0,577;0,57]+0,57275+0,6316399999999998+8+1800+1+4022+1604879493046+1604877693046
4+4139+89,93477900695801+[0,579;0,568;0,579;0,573]+0,5747499999999999+0,6121511111111108+8+1800+1+4042+1604879501046+1604877701046
4+4156+89,1224700012207+[0,581;0,57;0,583;0,574]+0,577+0,5661111111111109+8+1800+1+4082+1604879509046+1604877709046
4+4173+94,79663000488281+[0,584;0,571;0,586;0,578]+0,5797499999999999+0,5438888888888891+8+1800+1+4102+1604879517046+1604877717046
4+4189+95,3532319946289+[0,586;0,574;0,587;0,581]+0,582+0,49555555555555586+8+1800+1+4122+1604879525046+1604877725046
4+4200+92,71366900634766+[0,587;0,574;0,588;0,583]+0,583+0,5098355555555555+8+1800+1+4162+1604879533046+1604877733046
4+4219+91,11877200317383+[0,589;0,576;0,592;0,587]+0,5860000000000001+0,4631069444444447+8+1800+1+4182+1604879541046+1604877741046
4+4232+100,26577899169922+[0,592;0,578;0,593;0,588]+0,58775+0,4665266666666663+8+1800+1+4202+1604879549046+1604877749046
4+4243+94,12281900024414+[0,594;0,579;0,593;0,591]+0,58925+0,4891666666666669+8+1800+1+4242+1604879557046+1604877757046
4+4257+93,02574800109863+[0,596;0,58;0,594;0,594]+0,591+0,5199999999999999+8+1800+1+4262+1604879565046+1604877765046
4+4270+95,95044000244141+[0,598;0,582;0,597;0,595]+0,593+0,5319444444444446+8+1800+1+4282+1604879573046+1604877773046
4+4281+98,87435198974609+[0,6;0,585;0,598;0,596]+0,59475+0,5199055555555553+8+1800+1+4322+1604879581046+1604877781046
4+4289+98,98794900512695+[0,602;0,585;0,598;0,597]+0,5954999999999999+0,5692672222222224+8+1800+1+4342+1604879589046+1604877789046
4+4310+96,99632000732421+[0,604;0,588;0,603;0,599]+0,5985+0,5552994444444442+8+1800+1+4362+1604879597046+1604877797046
4+4324+93,26928700256347+[0,606;0,592;0,605;0,6]+0,60075+0,5380555555555552+8+1800+1+4402+1604879605046+1604877805046
4+4334+100,16947399902344+[0,607;0,593;0,606;0,602]+0,602+0,5636111111111112+8+1800+1+4422+1604879613046+1604877813046
4+4351+90,04665100097657+[0,608;0,594;0,609;0,605]+0,604+0,5808333333333331+8+1800+1+4442+1604879621046+1604877821046
4+4365+105,19480400085449+[0,611;0,596;0,613;0,605]+0,60625+0,4872088888888889+8+1800+1+4483+1604879629046+1604877829046
4+4381+97,70297599792481+[0,613;0,598;0,616;0,608]+0,60875+0,48993583333333335+8+1800+1+4503+1604879637046+1604877837046
4+4394+103,61219099426269+[0,614;0,599;0,616;0,611]+0,6100000000000001+0,4875388888888891+8+1800+1+4523+1604879645046+1604877845046
4+4409+101,51750999450684+[0,617;0,602;0,618;0,613]+0,6124999999999999+0,5219444444444444+8+1800+1+4563+1604879653046+1604877853046
4+4419+100,57259098815918+[0,618;0,603;0,62;0,614]+0,61375+0,5483333333333335+8+1800+1+4583+1604879661046+1604877861046
4+4429+97,285904006958+[0,621;0,604;0,621;0,615]+0,6152500000000001+0,5699999999999997+8+1800+1+4603+1604879669046+1604877869046
